Tijdstempel,programme,course_ML,course_retrieval,course_statistics,course_databases,gender,ChatGPT,birthday,students_in_room,prev_answer_stand,stress_level,sports_per_week,random_number,bed_time,good_day_(1),good_day_(2)
2023-04-04 12:16:05,AI,1,0,1,0,1,8,1999-05-14,100,0,50,1,1,4:30:00,0,3
2023-04-04 12:08:33,AI,1,0,1,0,5,1,1997-11-23,319,0,100,0,69,23:30:00,6,6
2023-04-04 12:08:36,AI,0,0,0,0,1,8,1997-11-23,600,0,60,2,42,23:00:00,5,2
2023-04-04 12:08:38,AI,0,0,1,0,2,0,1997-11-23,220,0,20,5,17,23:30:00,1,3
2023-04-04 12:08:52,Data Mining,1,1,1,1,1,1,1996-06-25,100,0,50,5,12,23:00:00,1,1
2023-04-04 12:08:59,QRM,0,0,1,0,1,1,1998-08-18,300,0,65,10,874,23:00:00,1,4
2023-04-04 12:08:59,BA,1,0,1,1,2,1,2000-03-13,500,0,80,5,13,0:00:00,5,4
2023-04-04 12:09:02,AI,1,0,1,1,1,1,1999-07-21,150,0,100,7,27,23:00:00,1,1
2023-04-04 12:09:12,AI,1,1,1,1,1,1,2000-03-08,600,0,30,4,8,0:00:00,4,1
2023-04-04 12:09:15,Comp Sci,0,0,1,0,1,8,1996-11-24,525,0,65,5,3.14,22:30:00,6,6
2023-04-04 12:09:18,QRM,0,1,1,1,2,8,1998-12-07,570,0,70,6,777,0:00:00,6,6
2023-04-04 12:09:18,AI,1,0,1,1,1,1,1999-01-02,400,0,10,7,100,0:15:00,6,6
2023-04-04 12:09:22,CS,0,0,1,1,1,1,1999-11-14,550,1,100,0,28482947291,7:00:00,5,6
2023-04-04 12:09:22,AI,1,1,1,1,1,1,1999-11-14,550,1,100,0,696969,4:00:00,1,1
2023-04-04 12:09:26,CS,1,0,1,1,1,8,1999-11-14,450,0,15,10,14,2:00:00,6,6
2023-04-04 12:09:28,CS,0,1,1,1,1,0,1999-11-14,230,0,42,3,42,4:30:00,5,1
2023-04-04 12:09:33,BA,1,0,1,1,2,1,2000-09-25,300,1,50,3,25,23:00:00,4,5
2023-04-04 12:09:44,AI,1,1,1,1,1,1,1999-02-04,600,0,0,6,666,0:00:00,5,2
2023-04-04 12:09:44,AI,1,1,1,1,1,1,1999-11-27,600,0,30,12,4153,22:45:00,4,1
2023-04-04 12:09:45,AI,1,0,1,0,1,1,1997-12-29,750,0,77,6,866,0:30:00,6,3
2023-04-04 12:09:51,BA,1,1,1,1,2,1,2000-02-09,534,0,40,4,93,0:15:00,4,3
2023-04-04 12:09:51,Neur sci,0,0,1,0,2,0,1999-05-09,350,0,70,8,9,22:30:00,5,3
2023-04-04 12:09:52,AI,1,0,0,0,1,1,1999-05-14,150,0,100,8,290,4:00:00,0,1
2023-04-04 12:09:53,Comp Sci,0,1,1,0,1,8,1997-11-11,300,0,50,2,182638,0:00:00,1,6
2023-04-04 12:09:54,BA,1,0,1,0,2,0,1997-11-11,800,0,70,0,90,0:00:00,5,2
2023-04-04 12:09:59,AI,1,1,1,1,2,1,1997-08-08,516,0,6,1,666,0:30:00,4,3
2023-04-04 12:09:59,CS,0,0,1,0,2,1,1998-05-11,85,0,80,0,11,0:00:00,5,0
2023-04-04 12:10:00,CS,1,0,1,1,2,0,2002-09-15,450,0,70,2,96,2:00:00,5,0
2023-04-04 12:10:03,BA,1,0,1,0,1,1,1997-04-26,400,0,99,2,4,2:00:00,0,5
2023-04-04 12:10:05,CS,1,0,0,0,1,1,2000-10-24,380,0,80,8,30,2:45:00,5,1
2023-04-04 12:10:09,AI,1,0,0,1,4,8,2002-07-05,200,0,10,5,189572,1:00:00,2,2
2023-04-04 12:10:11,CS,1,0,1,0,2,8,2000-01-31,449,0,67,2,7,0:30:00,3,5
2023-04-04 12:10:11,CS,1,0,1,0,2,1,1997-05-03,600,0,80,2,7,22:20:00,4,1
2023-04-04 12:10:14,CS,1,0,1,1,1,0,1999-03-31,500,0,90,8,24,0:00:00,4,1
2023-04-04 12:10:14,CS,0,0,1,1,2,1,1999-03-31,200,0,30,8,27,23:30:00,4,5
2023-04-04 12:10:15,CS,1,0,1,0,2,0,1998-12-18,400,0,10,4,25,2:00:00,2,5
2023-04-04 12:10:17,Finance,1,1,1,1,1,8,1998-02-17,400,0,80,3,11,0:00:00,3,3
2023-04-04 12:10:17,AI,1,1,1,0,2,1,1999-08-22,400,0,80,6,69,22:30:00,4,1
2023-04-04 12:10:18,AI,0,1,1,0,2,1,1998-09-28,500,0,50,4,56,23:30:00,4,5
2023-04-04 12:10:18,CS,1,1,1,1,1,1,2001-07-05,300,0,50,6,10,6:00:00,0,1
2023-04-04 12:10:21,AI,1,1,1,1,2,1,1999-03-12,350,0,40,8,9,23:30:00,5,3
2023-04-04 12:10:27,AI,1,1,1,1,2,1,1997-12-14,400,0,90,4,3,1:00:00,1,4
2023-04-04 12:10:32,CS,1,0,1,1,2,1,2001-10-31,300,0,90,2,2,4:00:00,6,4
2023-04-04 12:10:35,Comp Sci,1,0,1,1,2,1,2001-01-10,270,0,39,10,9.87654E+17,4:00:00,3,3
2023-04-04 12:10:36,AI,1,1,1,0,2,0,2001-01-10,180,0,25,5,66,23:30:00,4,6
2023-04-04 12:10:36,CS,1,0,1,0,1,1,1996-04-24,230,0,15,12,99,1:00:00,5,3
2023-04-04 12:10:38,CS,1,0,1,0,7,1,1999-08-08,500,0,30,4,3,0:00:00,5,5
2023-04-04 12:10:38,Hum Lang Tech,1,0,0,0,2,8,1994-06-18,400,0,55,4,4,0:30:00,5,2
2023-04-04 12:10:39,AI,0,0,1,0,1,1,1998-09-19,100,0,10,0,23,0:00:00,6,5
2023-04-04 12:10:40,CS,1,1,1,1,2,8,2000-09-08,520,0,70,4,999,0:00:00,4,1
2023-04-04 12:10:41,CS,1,0,1,0,2,1,1998-04-17,550,0,0,3,43,0:30:00,1,1
2023-04-04 12:10:42,CS,1,0,1,1,1,1,2000-11-02,200,0,30,7,Random number,2:00:00,4,3
2023-04-04 12:10:42,CS,1,0,1,0,1,1,1998-09-06,75,0,55,5,6,0:00:00,0,0
2023-04-04 12:10:43,CS,1,0,1,1,1,8,2000-02-28,300,0,30,5,69,0:00:00,5,4
2023-04-04 12:10:45,Finance,1,0,1,0,1,1,1998-03-30,200,0,50,7,42,0:30:00,4,1
2023-04-04 12:10:45,CS,0,0,1,1,2,8,1998-06-12,300,0,99,5,22,1:40:00,5,1
2023-04-04 12:10:45,CS,1,0,1,1,2,1,1999-01-16,400,0,65,3,4,22:00:00,4,3
2023-04-04 12:10:45,CS,1,0,1,0,2,1,1996-04-22,581,0,100,3,22,1:00:00,1,1
2023-04-04 12:10:46,AI,0,0,1,0,2,1,1999-08-12,120,0,30,5,35,2:00:00,5,1
2023-04-04 12:10:47,Finance,1,1,1,0,5,0,1999-08-12,400,0,30,5,29,2:00:00,1,0
2023-04-04 12:10:48,Finance,1,0,0,0,1,0,1997-06-02,200,0,10,0,7,1:00:00,5,4
2023-04-04 12:10:48,CLS,0,0,1,0,1,1,1999-05-28,300,0,35,3,6,0:15:00,1,3
2023-04-04 12:10:49,Hum Lang Tech,1,0,1,0,2,0,2000-12-28,500,0,17,2,22,2:00:00,4,1
